date,description,amount,category,transaction_type,account
2022-11-22,TfL Travel Charge,-5.90,transport,expense,current
2022-11-24,Tesco Superstore,-92.83,groceries,expense,current
2022-11-24,Sainsbury's Local,-9.66,groceries,expense,current
2022-11-24,Sainsbury's Local,-52.88,groceries,expense,current
2022-11-25,Salary Payroll,3308.13,income,income,current
2022-11-26,Tesco Superstore,-93.03,groceries,expense,current
2022-11-26,Sainsbury's Local,-69.94,groceries,expense,current
2022-11-26,Sainsbury's Local,-70.36,groceries,expense,current
2022-11-27,TfL Travel Charge,-7.55,transport,expense,current
2022-11-27,Netflix,-15.75,subscriptions,expense,current
2022-11-30,Tesco Superstore,-24.83,groceries,expense,current
2022-12-01,Rent Payment,-1049.83,housing,expense,current
2022-12-02,Amazon Marketplace,-24.50,shopping,expense,credit_card
2022-12-05,Aldi Stores,-37.17,groceries,expense,current
2022-12-07,Amazon Marketplace,-33.16,shopping,expense,credit_card
2022-12-10,Sainsbury's Local,-56.22,groceries,expense,current
2022-12-10,Pret A Manger,-12.62,eating_out,expense,current
2022-12-14,Tesco Superstore,-28.35,groceries,expense,current
2022-12-15,Deliveroo,-21.67,eating_out,expense,credit_card
2022-12-16,Amazon Marketplace,-35.42,shopping,expense,credit_card
2022-12-20,Tesco Superstore,-88.42,groceries,expense,current
2022-12-20,Netflix,-15.64,subscriptions,expense,current
2022-12-21,Deliveroo,-29.40,eating_out,expense,credit_card
2022-12-22,Tesco Superstore,-73.58,groceries,expense,current
2022-12-22,Tesco Superstore,-17.81,groceries,expense,current
2022-12-22,Aldi Stores,-29.39,groceries,expense,current
2022-12-22,Aldi Stores,-85.53,groceries,expense,current
2022-12-23,Aldi Stores,-39.46,groceries,expense,current
2022-12-23,Thames Water,-34.61,utilities,expense,current
2022-12-25,Salary Payroll,3229.66,income,income,current
2022-12-25,Spotify,-15.72,subscriptions,expense,current
2022-12-26,Deliveroo,-18.31,eating_out,expense,credit_card
2022-12-26,TfL Travel Charge,-9.65,transport,expense,current
2022-12-26,TfL Travel Charge,-14.72,transport,expense,current
2022-12-27,Pret A Manger,-9.69,eating_out,expense,current
2022-12-29,Octopus Energy,-127.37,utilities,expense,current
2022-12-29,Council Tax,-160.01,housing,expense,current
2022-12-31,Tesco Superstore,-69.01,groceries,expense,current
2023-01-01,Spotify,-16.61,subscriptions,expense,current
2023-01-01,Rent Payment,-1059.51,housing,expense,current
2023-01-03,TfL Travel Charge,-12.18,transport,expense,current
2023-01-05,Sainsbury's Local,-16.13,groceries,expense,current
2023-01-05,Deliveroo,-14.42,eating_out,expense,credit_card
2023-01-06,Aldi Stores,-48.44,groceries,expense,current
2023-01-08,Tesco Superstore,-76.61,groceries,expense,current
2023-01-10,Deliveroo,-14.32,eating_out,expense,credit_card
2023-01-11,Deliveroo,-19.03,eating_out,expense,credit_card
2023-01-11,TfL Travel Charge,-8.39,transport,expense,current
2023-01-12,Octopus Energy,-75.68,utilities,expense,current
2023-01-14,Aldi Stores,-81.90,groceries,expense,current
2023-01-18,Sainsbury's Local,-39.12,groceries,expense,current
2023-01-18,Sainsbury's Local,-43.59,groceries,expense,current
2023-01-18,Aldi Stores,-77.29,groceries,expense,current
2023-01-18,Deliveroo,-21.59,eating_out,expense,credit_card
2023-01-20,Council Tax,-148.69,housing,expense,current
2023-01-21,Pret A Manger,-7.46,eating_out,expense,current
2023-01-21,Pret A Manger,-11.30,eating_out,expense,current
2023-01-22,Sainsbury's Local,-61.69,groceries,expense,current
2023-01-24,Aldi Stores,-60.95,groceries,expense,current
2023-01-25,Salary Payroll,3276.06,income,income,current
2023-01-25,Pret A Manger,-10.30,eating_out,expense,current
2023-01-25,Pret A Manger,-7.88,eating_out,expense,current
2023-01-28,Sainsbury's Local,-24.70,groceries,expense,current
2023-01-29,Netflix,-13.93,subscriptions,expense,current
2023-01-29,Thames Water,-41.26,utilities,expense,current
2023-02-01,Tesco Superstore,-48.17,groceries,expense,current
2023-02-01,Rent Payment,-1146.05,housing,expense,current
2023-02-03,Pret A Manger,-7.53,eating_out,expense,current
2023-02-03,Pret A Manger,-7.14,eating_out,expense,current
2023-02-04,Netflix,-14.30,subscriptions,expense,current
2023-02-07,Aldi Stores,-43.43,groceries,expense,current
2023-02-07,TfL Travel Charge,-15.34,transport,expense,current
2023-02-09,Aldi Stores,-28.63,groceries,expense,current
2023-02-11,Aldi Stores,-49.10,groceries,expense,current
2023-02-12,Pret A Manger,-11.55,eating_out,expense,current
2023-02-13,Tesco Superstore,-68.37,groceries,expense,current
2023-02-13,Sainsbury's Local,-43.79,groceries,expense,current
2023-02-13,Aldi Stores,-72.09,groceries,expense,current
2023-02-19,Boots Pharmacy,-20.55,health,expense,current
2023-02-20,Sainsbury's Local,-69.61,groceries,expense,current
2023-02-20,Amazon Marketplace,-26.79,shopping,expense,credit_card
2023-02-21,Sainsbury's Local,-9.82,groceries,expense,current
2023-02-22,Tesco Superstore,-44.28,groceries,expense,current
2023-02-22,Sainsbury's Local,-47.66,groceries,expense,current
2023-02-22,Octopus Energy,-110.88,utilities,expense,current
2023-02-23,Spotify,-11.52,subscriptions,expense,current
2023-02-23,Amazon Marketplace,-115.94,shopping,expense,credit_card
2023-02-23,Thames Water,-40.76,utilities,expense,current
2023-02-23,Council Tax,-124.43,housing,expense,current
2023-02-24,Pret A Manger,-10.58,eating_out,expense,current
2023-02-25,Salary Payroll,3437.59,income,income,current
2023-02-27,Amazon Marketplace,-20.83,shopping,expense,credit_card
2023-03-01,Deliveroo,-23.37,eating_out,expense,credit_card
2023-03-01,TfL Travel Charge,-6.59,transport,expense,current
2023-03-01,Rent Payment,-910.33,housing,expense,current
2023-03-03,Pret A Manger,-15.63,eating_out,expense,current
2023-03-04,Sainsbury's Local,-63.10,groceries,expense,current
2023-03-05,Sainsbury's Local,-38.80,groceries,expense,current
2023-03-07,Deliveroo,-17.46,eating_out,expense,credit_card
2023-03-08,Shell Service Station,-68.31,transport,expense,credit_card
2023-03-09,Aldi Stores,-87.41,groceries,expense,current
2023-03-09,Aldi Stores,-69.83,groceries,expense,current
2023-03-10,Spotify,-10.11,subscriptions,expense,current
2023-03-10,Thames Water,-43.43,utilities,expense,current
2023-03-11,Deliveroo,-26.83,eating_out,expense,credit_card
2023-03-11,Octopus Energy,-160.78,utilities,expense,current
2023-03-12,Tesco Superstore,-47.56,groceries,expense,current
2023-03-12,Sainsbury's Local,-37.05,groceries,expense,current
2023-03-15,Pret A Manger,-7.90,eating_out,expense,current
2023-03-16,Aldi Stores,-55.36,groceries,expense,current
2023-03-16,Shell Service Station,-78.20,transport,expense,credit_card
2023-03-16,Netflix,-15.51,subscriptions,expense,current
2023-03-18,Tesco Superstore,-15.41,groceries,expense,current
2023-03-18,Amazon Marketplace,-49.33,shopping,expense,credit_card
2023-03-18,Council Tax,-114.56,housing,expense,current
2023-03-19,Amazon Marketplace,-42.30,shopping,expense,credit_card
2023-03-21,Tesco Superstore,-17.72,groceries,expense,current
2023-03-22,Deliveroo,-29.10,eating_out,expense,credit_card
2023-03-25,Salary Payroll,3299.73,income,income,current
2023-03-26,Tesco Superstore,-78.86,groceries,expense,current
2023-03-26,Tesco Superstore,-93.66,groceries,expense,current
2023-03-27,Sainsbury's Local,-50.58,groceries,expense,current
2023-03-27,Aldi Stores,-49.87,groceries,expense,current
2023-03-29,TfL Travel Charge,-7.42,transport,expense,current
2023-03-29,TfL Travel Charge,-10.75,transport,expense,current
2023-03-30,Aldi Stores,-61.19,groceries,expense,current
2023-04-01,Rent Payment,-1345.02,housing,expense,current
2023-04-02,Pret A Manger,-5.77,eating_out,expense,current
2023-04-02,Deliveroo,-22.22,eating_out,expense,credit_card
2023-04-03,TfL Travel Charge,-8.21,transport,expense,current
2023-04-05,Pret A Manger,-8.09,eating_out,expense,current
2023-04-08,Aldi Stores,-29.56,groceries,expense,current
2023-04-10,Aldi Stores,-42.07,groceries,expense,current
2023-04-10,Netflix,-16.67,subscriptions,expense,current
2023-04-10,Thames Water,-58.89,utilities,expense,current
2023-04-15,Deliveroo,-26.08,eating_out,expense,credit_card
2023-04-16,Tesco Superstore,-29.96,groceries,expense,current
2023-04-17,Octopus Energy,-100.95,utilities,expense,current
2023-04-18,Pret A Manger,-17.64,eating_out,expense,current
2023-04-18,Spotify,-11.73,subscriptions,expense,current
2023-04-19,Tesco Superstore,-34.95,groceries,expense,current
2023-04-20,Council Tax,-154.68,housing,expense,current
2023-04-25,Salary Payroll,3495.97,income,income,current
2023-04-25,Pret A Manger,-12.93,eating_out,expense,current
2023-04-27,Aldi Stores,-88.54,groceries,expense,current
2023-04-28,Pret A Manger,-10.87,eating_out,expense,current
2023-04-28,Deliveroo,-19.57,eating_out,expense,credit_card
2023-05-01,Sainsbury's Local,-13.03,groceries,expense,current
2023-05-01,Octopus Energy,-144.43,utilities,expense,current
2023-05-01,Rent Payment,-1143.56,housing,expense,current
2023-05-06,Tesco Superstore,-66.82,groceries,expense,current
2023-05-09,Tesco Superstore,-63.92,groceries,expense,current
2023-05-10,Sainsbury's Local,-47.79,groceries,expense,current
2023-05-10,Sainsbury's Local,-10.19,groceries,expense,current
2023-05-13,Amazon Marketplace,-42.06,shopping,expense,credit_card
2023-05-14,Boots Pharmacy,-6.99,health,expense,current
2023-05-15,Amazon Marketplace,-111.17,shopping,expense,credit_card
2023-05-15,Amazon Marketplace,-68.48,shopping,expense,credit_card
2023-05-17,Amazon Marketplace,-113.58,shopping,expense,credit_card
2023-05-19,Pret A Manger,-15.08,eating_out,expense,current
2023-05-23,Sainsbury's Local,-35.37,groceries,expense,current
2023-05-23,Sainsbury's Local,-55.37,groceries,expense,current
2023-05-23,Amazon Marketplace,-21.93,shopping,expense,credit_card
2023-05-25,Salary Payroll,3506.12,income,income,current
2023-05-26,Pret A Manger,-16.93,eating_out,expense,current
2023-05-26,Spotify,-10.41,subscriptions,expense,current
2023-05-27,Netflix,-17.35,subscriptions,expense,current
2023-05-27,Thames Water,-60.70,utilities,expense,current
2023-05-27,Council Tax,-166.18,housing,expense,current
2023-06-01,Rent Payment,-1125.63,housing,expense,current
2023-06-02,Deliveroo,-25.26,eating_out,expense,credit_card
2023-06-03,Sainsbury's Local,-40.95,groceries,expense,current
2023-06-03,Aldi Stores,-17.75,groceries,expense,current
2023-06-05,Amazon Marketplace,-80.54,shopping,expense,credit_card
2023-06-06,Sainsbury's Local,-15.01,groceries,expense,current
2023-06-07,Pret A Manger,-9.79,eating_out,expense,current
2023-06-09,Tesco Superstore,-48.71,groceries,expense,current
2023-06-09,Octopus Energy,-133.52,utilities,expense,current
2023-06-10,Deliveroo,-15.93,eating_out,expense,credit_card
2023-06-11,Aldi Stores,-38.59,groceries,expense,current
2023-06-13,Aldi Stores,-36.62,groceries,expense,current
2023-06-14,Sainsbury's Local,-39.49,groceries,expense,current
2023-06-14,Netflix,-11.09,subscriptions,expense,current
2023-06-15,Pret A Manger,-16.17,eating_out,expense,current
2023-06-16,Thames Water,-44.40,utilities,expense,current
2023-06-17,Council Tax,-178.75,housing,expense,current
2023-06-18,Aldi Stores,-76.02,groceries,expense,current
2023-06-18,Deliveroo,-18.11,eating_out,expense,credit_card
2023-06-20,TfL Travel Charge,-15.65,transport,expense,current
2023-06-21,Tesco Superstore,-51.05,groceries,expense,current
2023-06-21,Deliveroo,-34.69,eating_out,expense,credit_card
2023-06-22,Sainsbury's Local,-30.33,groceries,expense,current
2023-06-22,Pret A Manger,-17.83,eating_out,expense,current
2023-06-23,Deliveroo,-25.14,eating_out,expense,credit_card
2023-06-25,Salary Payroll,2746.46,income,income,current
2023-06-27,Sainsbury's Local,-37.20,groceries,expense,current
2023-06-27,Pret A Manger,-16.11,eating_out,expense,current
2023-06-30,Spotify,-16.94,subscriptions,expense,current
2023-07-01,Aldi Stores,-35.04,groceries,expense,current
2023-07-01,Rent Payment,-1158.73,housing,expense,current
2023-07-04,Shell Service Station,-54.92,transport,expense,credit_card
2023-07-08,Deliveroo,-29.15,eating_out,expense,credit_card
2023-07-10,Aldi Stores,-36.21,groceries,expense,current
2023-07-10,Council Tax,-159.75,housing,expense,current
2023-07-14,Deliveroo,-37.68,eating_out,expense,credit_card
2023-07-15,Aldi Stores,-79.89,groceries,expense,current
2023-07-15,Pret A Manger,-11.61,eating_out,expense,current
2023-07-15,Shell Service Station,-87.45,transport,expense,credit_card
2023-07-16,Aldi Stores,-89.92,groceries,expense,current
2023-07-16,TfL Travel Charge,-15.75,transport,expense,current
2023-07-16,Netflix,-12.07,subscriptions,expense,current
2023-07-19,Aldi Stores,-77.81,groceries,expense,current
2023-07-20,Spotify,-11.85,subscriptions,expense,current
2023-07-21,TfL Travel Charge,-13.30,transport,expense,current
2023-07-21,Octopus Energy,-184.73,utilities,expense,current
2023-07-22,TfL Travel Charge,-7.96,transport,expense,current
2023-07-24,Shell Service Station,-62.42,transport,expense,credit_card
2023-07-25,Salary Payroll,3270.92,income,income,current
2023-07-25,Pret A Manger,-8.65,eating_out,expense,current
2023-07-26,Tesco Superstore,-34.93,groceries,expense,current
2023-07-26,TfL Travel Charge,-12.17,transport,expense,current
2023-07-28,Pret A Manger,-17.06,eating_out,expense,current
2023-07-28,Shell Service Station,-43.65,transport,expense,credit_card
2023-07-28,Amazon Marketplace,-103.40,shopping,expense,credit_card
2023-07-28,Thames Water,-53.82,utilities,expense,current
2023-07-30,Shell Service Station,-40.98,transport,expense,credit_card
2023-08-01,Deliveroo,-19.66,eating_out,expense,credit_card
2023-08-01,Rent Payment,-1250.97,housing,expense,current
2023-08-03,Aldi Stores,-27.75,groceries,expense,current
2023-08-03,Deliveroo,-28.40,eating_out,expense,credit_card
2023-08-04,Shell Service Station,-86.20,transport,expense,credit_card
2023-08-06,Tesco Superstore,-20.34,groceries,expense,current
2023-08-09,Council Tax,-120.21,housing,expense,current
2023-08-10,Sainsbury's Local,-61.34,groceries,expense,current
2023-08-10,TfL Travel Charge,-15.84,transport,expense,current
2023-08-10,Shell Service Station,-56.54,transport,expense,credit_card
2023-08-10,Shell Service Station,-94.56,transport,expense,credit_card
2023-08-13,Aldi Stores,-60.71,groceries,expense,current
2023-08-13,Netflix,-16.80,subscriptions,expense,current
2023-08-14,Sainsbury's Local,-32.02,groceries,expense,current
2023-08-14,TfL Travel Charge,-11.31,transport,expense,current
2023-08-15,Pret A Manger,-6.00,eating_out,expense,current
2023-08-15,Deliveroo,-38.97,eating_out,expense,credit_card
2023-08-15,TfL Travel Charge,-11.97,transport,expense,current
2023-08-17,Sainsbury's Local,-17.75,groceries,expense,current
2023-08-19,Pret A Manger,-10.97,eating_out,expense,current
2023-08-19,Shell Service Station,-49.23,transport,expense,credit_card
2023-08-22,Deliveroo,-39.04,eating_out,expense,credit_card
2023-08-22,Spotify,-13.95,subscriptions,expense,current
2023-08-25,Salary Payroll,3547.17,income,income,current
2023-08-25,Tesco Superstore,-93.20,groceries,expense,current
2023-08-26,Thames Water,-37.73,utilities,expense,current
2023-08-27,Octopus Energy,-160.69,utilities,expense,current
2023-08-28,Tesco Superstore,-64.60,groceries,expense,current
2023-08-29,Tesco Superstore,-69.60,groceries,expense,current
2023-09-01,TfL Travel Charge,-13.28,transport,expense,current
2023-09-01,Rent Payment,-1323.13,housing,expense,current
2023-09-02,Tesco Superstore,-64.08,groceries,expense,current
2023-09-03,Sainsbury's Local,-57.07,groceries,expense,current
2023-09-03,TfL Travel Charge,-10.25,transport,expense,current
2023-09-04,TfL Travel Charge,-6.44,transport,expense,current
2023-09-04,Thames Water,-50.07,utilities,expense,current
2023-09-04,Council Tax,-144.41,housing,expense,current
2023-09-05,Pret A Manger,-17.48,eating_out,expense,current
2023-09-06,Sainsbury's Local,-58.08,groceries,expense,current
2023-09-06,Aldi Stores,-35.44,groceries,expense,current
2023-09-08,Pret A Manger,-14.56,eating_out,expense,current
2023-09-11,Sainsbury's Local,-68.95,groceries,expense,current
2023-09-12,Sainsbury's Local,-10.24,groceries,expense,current
2023-09-12,Aldi Stores,-80.73,groceries,expense,current
2023-09-15,Pret A Manger,-15.26,eating_out,expense,current
2023-09-18,Amazon Marketplace,-77.39,shopping,expense,credit_card
2023-09-21,Boots Pharmacy,-35.50,health,expense,current
2023-09-22,Spotify,-12.59,subscriptions,expense,current
2023-09-25,Salary Payroll,3195.54,income,income,current
2023-09-26,Aldi Stores,-85.81,groceries,expense,current
2023-09-26,TfL Travel Charge,-15.57,transport,expense,current
2023-09-27,Aldi Stores,-34.27,groceries,expense,current
2023-09-27,Netflix,-15.08,subscriptions,expense,current
2023-09-29,Tesco Superstore,-64.14,groceries,expense,current
2023-09-30,Aldi Stores,-54.81,groceries,expense,current
2023-09-30,Octopus Energy,-169.74,utilities,expense,current
2023-10-01,Rent Payment,-1222.83,housing,expense,current
2023-10-02,Deliveroo,-41.13,eating_out,expense,credit_card
2023-10-03,Deliveroo,-28.94,eating_out,expense,credit_card
2023-10-04,Pret A Manger,-6.66,eating_out,expense,current
2023-10-04,Spotify,-15.58,subscriptions,expense,current
2023-10-05,TfL Travel Charge,-7.27,transport,expense,current
2023-10-05,Netflix,-17.88,subscriptions,expense,current
2023-10-06,Octopus Energy,-112.23,utilities,expense,current
2023-10-08,Deliveroo,-35.60,eating_out,expense,credit_card
2023-10-08,TfL Travel Charge,-13.57,transport,expense,current
2023-10-09,Sainsbury's Local,-70.92,groceries,expense,current
2023-10-12,Sainsbury's Local,-10.19,groceries,expense,current
2023-10-12,Aldi Stores,-88.34,groceries,expense,current
2023-10-12,Amazon Marketplace,-22.76,shopping,expense,credit_card
2023-10-14,Tesco Superstore,-90.52,groceries,expense,current
2023-10-14,Sainsbury's Local,-40.79,groceries,expense,current
2023-10-14,Thames Water,-32.31,utilities,expense,current
2023-10-17,Council Tax,-167.24,housing,expense,current
2023-10-18,Deliveroo,-36.89,eating_out,expense,credit_card
2023-10-22,Tesco Superstore,-49.65,groceries,expense,current
2023-10-22,Aldi Stores,-42.20,groceries,expense,current
2023-10-22,Pret A Manger,-10.37,eating_out,expense,current
2023-10-23,Tesco Superstore,-90.80,groceries,expense,current
2023-10-24,Tesco Superstore,-60.75,groceries,expense,current
2023-10-25,Salary Payroll,2708.28,income,income,current
2023-10-26,Deliveroo,-41.66,eating_out,expense,credit_card
2023-10-27,Sainsbury's Local,-51.88,groceries,expense,current
2023-10-27,Pret A Manger,-17.29,eating_out,expense,current
2023-10-28,Aldi Stores,-86.29,groceries,expense,current
2023-10-29,Aldi Stores,-42.55,groceries,expense,current
2023-11-01,Aldi Stores,-63.25,groceries,expense,current
2023-11-01,Rent Payment,-898.28,housing,expense,current
2023-11-02,Tesco Superstore,-90.47,groceries,expense,current
2023-11-03,Pret A Manger,-5.03,eating_out,expense,current
2023-11-03,Thames Water,-31.10,utilities,expense,current
2023-11-05,Pret A Manger,-8.51,eating_out,expense,current
